id,name,address,overview,feature1,feature2,feature3,reviews,region,link,hours,fee,taken_time,,,,,,,,,,,,,
1,새별오름,제주특별자치도 제주시 애월읍 봉성리 산59-8,제주특별자치도 오름 추천 리스트에 빠지지 않고 등장하는 핫플레이스 오름,"가을, 겨울에는 억새밭이 매력적인 제주도의 대표 오름. 초심자도 쉽게 올라갈 수 있다","경사가 조금 있는 편이며, 정상까지 30분 내외로 도달할 수 있다",정상에 오르면 제주도 서쪽 아름다운 해변과 비양도를 볼 수 있다,260,west,https://map.naver.com/p/entry/place/17029023,상시개방,무료,40분,,,,,,,,,,,,,
2,쇠소깍,제주특별자치도 서귀포시 쇠소깍로 104,제주 올레 5코스의 끝이자 6코스의 시작인 바닷물과 민물이 만나는 비밀스런 계곡," 양 벽에 기암괴석이 병풍처럼 둘러서 있고, 그 위로 숲이 우거져 신비한 계곡에 온 기분을 느낄 수 있다",쇠소깍의 바위에 비추는 민물은 유난히 푸르고 맑아 짙회색의 기암괴석과 절경을 이룬다,담수의 산책로를 내려가면 여러 명이서 함께 타는 태우와  2인이 함께 타는 전통 조각배를 타볼 수 있는 작은 승선 장소가 있다,77,south,https://map.naver.com/p/entry/place/11707633,09:00 ~ 17:00,10000원,20분 ~ 40분,,,,,,,,,,,,,
3,금오름,제주특별자치도 제주시 한림읍 금악리 산1-1,패러글라이딩 풍경을 감상할 수 있는 고매함이 느껴지는 오름,산정화구호 뿐만 아니라 정상에서 바라보는 경치와 정상 분화구의 능선이 아름다워서 관광객들이 즐겨 찾는 오름 중 하나이다,"파란 바다와 푸른 초원, 그 위로 풀을 뜯고 있는 말들의 목가적인 풍경에서 평화로움을 만끽할 수 있다",근처에 제주 하늘을 날아볼 수 있는 패러글라이딩 투어가 있다,81,west,https://map.naver.com/p/entry/place/17020866,상시개방,무료,1시간,,,,,,,,,,,,,
4,헬로키티아일랜드,제주특별자치도 서귀포시 안덕면 한창로 340,많은 사랑을 받고있는 헬로키티 전시관,어린이 뿐만 아니라 어른들도 창의적인 경험을 통해 예술적 감수성을 일깨울 수 있는 테마 박물관,2층에 마련된 헬로키티 카페는 향긋한 커피와 키티가 그려진 달콤한 디저트를 맛볼 수 있는 휴식 공간이다,특별프로그램을 통해 헬로우 키티의 독특한 문화를 체험하고 최첨단 3D극장을 관람 할 수도 있다,17344,west,https://map.naver.com/p/entry/place/33703960,09:00 ~ 18:00,14000원,2시간,,,,,,,,,,,,,
5,카멜리아힐,제주특별자치도 서귀포시 안덕면 병악로 166,"동백꽃, 수국, 억새, 핑크뮬리 등으로 봄, 여름, 가을, 겨울 모두 아름다운 동양에서 가장 큰 동백 수목원",수목원 안에 아기자기한 포토 스폿이 많아 연인과 가족 단위 관광객에게 특히 인기가 높다,이니스프리 CF의 배경으로 알려진 새소리 바람소리길은 물론 제주의 돌담이 이어진 전통 올레길과 노란 전구들이 반짝반짝 빛나는 감성적인 숲길,계절마다 새롭게 옷을 갈아입는 덕분에 어느 때에 방문해도 인생샷 100%의 성공률을 자랑한다,52911,west,https://map.naver.com/p/entry/place/11846866,08:30 ~ 18:30,10000원,40분 ~ 80분,,,,,,,,,,,,,
6,오설록 티 뮤지엄,제주특별자치도 서귀포시 안덕면 신화역사로 15 오설록,"제주녹차문화의 중심. 차 박물관과 녹차밭, 연못과 산책로, 전망대","동서양 전통과 현대가 조화를 이룬 문화의 공간이자, 자연 친화적인 휴식공간으로, 건물 전체가 녹차잔을 형상화하여 만들어졌다",녹차와 한국 전통 차 문화를 이해할 수 있는 학습 공간으로 설록차의 모든 것을 체험해 볼 수 있는 곳이다,"티 하우스에서는 티 마스터가 직접 볶은 따뜻한 차와 오설록 녹차로 만든 음료 아이스크림, 롤케익크 등을 즐길 수 있다",36073,west,https://map.naver.com/p/entry/place/11612628,09:00 ~ 18:00,평균 7000원,1시간,,,,,,,,,,,,,
7,금능해수욕장,제주특별자치도 제주시 한림읍 금능길 119-10,바닥이 훤히 비치는 투명한 물빛과 바닷물이 찰박거리는 얕은 수심으로 아이들과 다녀오기에 최적의 조건을 갖춘 해수욕장,"파란 물감을 풀어놓은 것 같은 바다부터 생김새가 귀여운 비양도, 촉감이 보슬거리는 모래사장을 가지고 있다",새로 신축된 샤워실은 온수 샤워가 가능해 해수욕장 이용에 편리함을 갖췄다,비양도부터 서서히 물들어가는 노을은 순식간에 파란 하늘을 노란 빛으로 바꿔 놓으며 잊지 못할 황홀함을 선사한다,160,north,https://map.naver.com/p/entry/place/13491073,10:00 ~ 19:00,무료,1시간,,,,,,,,,,,,,
8,용머리해안,제주특별자치도 서귀포시 안덕면 사계리 112-3,신비로운 용의 머리를 연상시키는 절벽,파도의 치여 비밀의 방처럼 움푹 패인 굴 방이나 암벽이 간직하고 있는 파도의 흔적은 기나긴 역사와 마주할 때의 웅장함을 느끼게 한다, 근처에는 네덜란드 선인 하멜의 선박이 난파되어 이곳에 표착했던 것을 기념하는 하멜 표류 기념비가 서있다,길이 30~50m의 절벽이 굽이 치듯 이어지는 장관은 CF와 영화의 배경으로도 촬영된 바 있다,719,south,https://map.naver.com/p/entry/place/13491455,상시개방,2000원,1시간,,,,,,,,,,,,,
9,함덕해수욕장,제주특별자치도 제주시 조천읍 조함해안로 525,에매랄드처럼 빛나는 '한국의 몰디브',물이 맑고 수심이 얕아서 가족 단위 피서지로도 좋다,해수욕장 서쪽은 구름 다리로 연결되어 있어 바다 위를 걷는 듯한 경험을 할 수 있다," 피크닉 하기 좋은 잔디밭, 밤에도 안심하고 바다를 즐길 수 있는 산책로가 매력이어서 사계절 찾는 이들의 발길이 끊이지 않는다",1089,north,https://map.naver.com/p/entry/place/11491805,10:00 ~ 19:00,무료,2시간,,,,,,,,,,,,,
10,아쿠아플라넷 제주,제주특별자치도 서귀포시 성산읍 섭지코지로 95 아쿠아플라넷 제주,450여종의 바다생명체가 있는 아시아 최대 수족관,"이는 63씨월드의 약 11배에 달하는 규모로, 단일 수조로는 세계 최대급을 보유하고 있다","제주의 앞 바다를 재현한 초대형 수조 '제주의 바다'를 비롯해 ‘해양과학 체험관’, ‘대형 해양공연장’ 등을 운영하고 있어 다양한 컨텐츠를 접할 수 있다","국내에서 가장 많은 종의 해양포유류를 보유하고 있다(참물범, 바이칼물범, 남아메리카바다사자 등)",45560,east,https://map.naver.com/p/entry/place/19708047,09:30 ~ 19:00,42400원,3시간,,,,,,,,,,,,,
11,광치기해변,제주특별자치도 서귀포시 성산읍 섭지코지로 63,성산일출봉과 독특한 해안지형이 어우러져 이색적인 풍광을 간직한 해변," 펄펄 끓던 용암이 바다와 만나 빠르게 굳어지며 형성된 지질구조가 특징이며, 특히 썰물 때는 바닷물에 가려있던 비경들이 속속들이 들어나 숨은 비경을 선사한다","광치기해변의 모래는 현무암의 풍화작용으로 오랜 세월에 걸쳐 만들어진 입자로, 검은 색을 띄는 것이 특징이다",성산일출봉 옆으로 뜨는 일출을 한 프레임에 담을 수 있어 연말연시에 많은 사람들이 찾는다,69,east,https://map.naver.com/p/entry/place/38466341,상시개방,무료,30분,,,,,,,,,,,,,
12,에코랜드 테마파크,제주특별자치도 제주시 조천읍 번영로 1278-169,"1800년대 증기 기관차인 볼드윈 기종 모델의 기차를 타고, 약 4.5km 거리의 곶자왈을 체험하는 원시림 테마파크","보온과 보습 효과가 높아 다양한 기후대의 식물이 공존하여 학술적으로 가치가 높고, 생명력과 신비로움을 관찰할 수 있는 독특한 분위기를 가졌다","에코랜드는 사계절 내내 다른 분위기를 띄고 있는데, 봄과 여름에는 푸른 녹음과 따뜻한 햇살을, 가을에는 알록달록 피어난 코스모스와 억새 물결을, 그리고 겨울에는 새하얀 설경을 볼 수 있다","에코랜드는 각기 다른 테마를 가진 역(에코브릿지, 레이크사이드, 피크닉가든, 그린티&로즈가든)들로 나뉘어 있다",27912,north,https://map.naver.com/p/entry/place/19584967,08:30 ~ 18:20,16000원,2시간,,,,,,,,,,,,,
13,스누피가든,제주특별자치도 제주시 구좌읍 금백조로 930,개성적인 모습을 자랑하는 피넛츠 캐릭터들을 만나 그들과 상호관계를 통해 공감과 힐링의 메시지를 얻을 수 있는 특별한 장소,"자연과 인간의 조화와 균형을 중요하게 생각하는 에스앤가든의 철학을 담은 곳으로, 삶과 자연의 균형을 맞추는 특별한 인생 가드너 스누피가 있다",매주 수요일은 반려동물데이로 운영되고 있다. 반려동물 동반 티켓 구매 시 입장 가능하며 실내는 케이지나 개모차를 이용해야 한다,스누피와 피너츠 캐릭터들의 다양한 굿즈를 판매하는 장소도 있다,12715,east,https://map.naver.com/p/entry/place/1875149782,09:00 ~ 18:00,18000원,1시간 30분,,,,,,,,,,,,,
14,이호테우해수욕장,제주특별자치도 제주시 이호일동 1665-13,붉은 조랑말과 흰 조랑말의 극명하게 대조되는 색감이 이국적인 풍경을 선사하는 해변. 도심과 가장 가깝고 교통이 편리하다.,"이호테우해변 길목에는 아카시아 숲이 우거져 있고, 모래사장 뒤에는 소나무 숲이 형성되어 있다",소나무 숲 사이에는 캠핑장이 마련되어 있어 여름이면 텐트를 가지고 캠핑을 즐기러 오는 사람들이 많다,해수면이 가장 낮아지는 간조에는 끝없이 넓은 백사장과 함께 원담의 모습도 볼 수 있다,247,north,https://map.naver.com/p/entry/place/11491767,상시개방,무료,1시간,,,,,,,,,,,,,
15,정방폭포,제주특별자치도 서귀포시 칠십리로214번길 37,높은곳에서 바다로 떨어지는 물줄기의 시원함 · 명승 제43호 · 올레6코스,"정방폭포는 천제연폭포, 천지연폭포와 더불어 제주도 3대 폭포라고 불린다","멀리서도 시원한 폭포 소리가 들리고, 폭포 양쪽으로 주상절리가 잘 발달한 수직 암벽도 볼 수 있다","정방폭포의 한쪽 석벽에는 '서불과차'라는 글이 새겨져 있는데, 진시황의 불로초와 관련된 전설이 내려온다",7543,south,https://map.naver.com/p/entry/place/11491630,09:00 ~ 18:00,2000원,30분,,,,,,,,,,,,,
16,사계해안,제주특별자치도 서귀포시 안덕면 사계리,"형제섬, 산방산, 한라산, 용머리해안까지 조망이 가능한 한적한 해변",낚시꾼들 사이에서는 제주 남서부 연안의 감성돔 낚시터로 손꼽히는 곳이다,인근 마을은 한적한 곳이긴 하나 곳곳에 작은 카페들이 있어 잠시 머물러 가기에도 좋다,사계’ 란 해안변을 따라 형성된 깨끗한 모래와 푸른 물이 어우러지는 명사 벽계를 일컫는 말이다,104,south,https://map.naver.com/p/entry/place/17083214,상시개방,2000원,30분,,,,,,,,,,,,,
17,절물자연휴양림,제주특별자치도 제주시 명림로 584,청정한 공기와 쭉쭉 뻗어 올라간 삼나무 숲으로 힐링하기 좋은 휴양림,"  휴양림에는 전망대, 등산로, 야영장 등의 편의시설과 체력단련시설, 어린이놀이터, 야외교실, 자연관찰원 등의 교육시설이 갖추어져 있다","천연림 100㏊, 인공림 200㏊로 약 300ha에 이르는 삼나무 숲에는 삼나무 이외에도 소나무와 산뽕나무, 까마귀와 노루 등의 동물도 서식하고 있다","근처에는 절물오름이 유명한데 큰대나오름과 족은대나오름, 두 개의 오름을 끼고 있으며 오름 옆구리에 둥근 화구가 남아 있는 특이한 유형을 가지고 있다",8197,north,https://map.naver.com/p/entry/place/13165795,07:00 ~ 18:00,1000원,1시간 30분,,,,,,,,,,,,,
18,만장굴,제주특별자치도 제주시 구좌읍 만장굴길 182,유네스코 지정 세계자연유산인 세계적인 규모의 용암동굴,"만장굴 내에는 용암종유, 용암석순, 용암유석, 용암유선, 용암선반, 용암표석 등의 다양한 용암동굴생성물이 발달해있다",우리나라 박쥐의 대표 종인 제주관박쥐와 긴가락박쥐가 수 천 마리 씩 거주하고 있다,"총 길이가 약 7.4km에 이르며, 부분적으로 다층구조를 지니는 용암동굴이다",4645,north,https://map.naver.com/p/entry/place/11608192,09:00 ~ 18:00,4000원,1시간,,,,,,,,,,,,,
